"Firms","Date","Analyst_Company","Opinions","Price"
"164","AbbVie Inc","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"165","AbbVie Inc","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"166","AbbVie Inc","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"167","AbbVie Inc","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"168","AbbVie Inc","07/10/23","Barclays Capital","Maintained Sell","$93"
"169","AbbVie Inc","06/27/23","Morgan Stanley","Maintained Sell","$100"
"170","AbbVie Inc","06/01/23","UBS","Maintained Hold","$95"
"171","AbbVie Inc","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"172","AbbVie Inc","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"173","AbbVie Inc","04/26/23","Morgan Stanley","Maintained Sell","$102"
"174","AbbVie Inc","04/19/23","Morgan Stanley","Maintained Sell","$103"
"175","AbbVie Inc","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"176","AbbVie Inc","04/06/23","Barclays Capital","Maintained Sell","$103"
"177","AbbVie Inc","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"178","AbbVie Inc","03/22/23","Barclays Capital","Maintained Sell","$105"
"179","AbbVie Inc","01/26/23","Mizuho","Maintained Hold","$120"
"180","AbbVie Inc","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"181","AbbVie Inc","01/25/23","Barclays Capital","Maintained Sell","$122"
"182","AbbVie Inc","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"183","AbbVie Inc","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"184","AbbVie Inc","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"185","AbbVie Inc","10/26/22","Mizuho","Maintained Hold","$130"
"186","AbbVie Inc","10/26/22","Morgan Stanley","Maintained Sell","$110"
"187","AbbVie Inc","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"188","AbbVie Inc","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"189","AbbVie Inc","10/13/22","Deutsche Bank","Maintained Hold","$126"
"190","AbbVie Inc","10/12/22","Morgan Stanley","Maintained Sell","$108"
"191","AbbVie Inc","10/11/22","Goldman Sachs","Maintained Hold","$129"
"192","AbbVie Inc","10/03/22","Barclays Capital","Maintained Sell","$130"
"193","AbbVie Inc","09/09/22","UBS","Upgraded to Hold","$126"
"194","AbbVie Inc","09/09/22","Deutsche Bank","Maintained Hold","$127"
"195","AbbVie Inc","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"196","AbbVie Inc","07/27/22","Credit Suisse","Maintained Hold","$160"
"197","AbbVie Inc","07/27/22","Deutsche Bank","Maintained Hold","$148"
"198","AbbVie Inc","07/27/22","Morgan Stanley","Maintained Sell","$131"
"199","AbbVie Inc","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"200","AbbVie Inc","07/27/22","Mizuho","Maintained Hold","$140"
"201","ABIOMED Inc.","10/25/23","J.P. Morgan","Maintained Hold","$105"
"202","ABIOMED Inc.","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"203","ABIOMED Inc.","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"204","ABIOMED Inc.","10/25/23","Barclays Capital","Maintained Sell","$98"
"205","ABIOMED Inc.","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"206","ABIOMED Inc.","09/15/23","HSBC","Maintained Sell","$109"
"207","ABIOMED Inc.","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
